sub,liks
1,32.174781653030486
2,56.37072890920327
3,54.95441848812812
4,52.42456204522989
5,56.25115713610253
6,35.503006163829156
7,41.367923808937974
8,37.96930743588931
9,50.022496004517826
10,45.67786870788994
11,51.37217571481816
12,45.837074272299695
13,54.59165545330117
14,31.96247166522354
15,48.40164808190584
16,57.481804056249025
17,41.746921535331154
18,43.84547843228094
19,54.0501874669111
20,41.24422124820382
22,45.074769141233695
23,40.57507095680827
24,44.92672345945749
25,45.374459979014254
26,55.32804625917289
27,29.79588197904779
29,55.27174735006695
30,47.53267077655817
31,46.068657561669404
